
         540712248 function calls (540708138 primitive calls) in 379.315 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 62243598   11.811    0.000   11.811    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1533(_fixname)
 28751553    5.742    0.000    5.742    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
 27403398    3.697    0.000    3.697    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/cell/read_only.py:108(value)
26602179/26602160    5.654    0.000    5.673    0.000 {built-in method builtins.isinstance}
 20490842   11.154    0.000   16.316    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1287(read_events)
 20485058   10.828    0.000   10.828    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
 20485058   29.299    0.000   49.540    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1544(_start)
 20484979    2.334    0.000    2.334    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
 20484979   10.808    0.000   16.969    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1556(_end)
 20484548    1.852    0.000    1.852    0.000 {method 'append' of 'collections.deque' objects}
 20484548    9.441    0.000   28.261    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1512(handler)
20465567/20465543    5.209    0.000  136.940    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/xml/etree/ElementTree.py:1219(iterator)
 20465520    2.063    0.000    2.063    0.000 {method 'popleft' of 'collections.deque' objects}
16039335/16037574    1.834    0.000    1.836    0.000 {built-in method builtins.len}
  9639939    9.681    0.000    9.682    0.000 {built-in method builtins.hasattr}
  9586836    3.549    0.000   13.220    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  9584026    1.447    0.000    1.447    0.000 {method 'upper' of 'str' objects}
  9583824   25.804    0.000   99.571    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/io/excel/_openpyxl.py:508(_convert_cell)
  9583824    3.353    0.000    3.353    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
  9583824   15.579    0.000   17.026    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/utils/cell.py:193(coordinate_to_tuple)
  9583824    6.898    0.000   49.744    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/cell/cell.py:246(is_date)
  9583824    6.520    0.000    8.598    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/cell/read_only.py:14(__init__)
  9583824   26.536    0.000   67.567    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/worksheet/_reader.py:177(parse_cell)
  9583824    7.114    0.000   56.858    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/openpyxl/cell/read_only.py:99(is_date)
